"","X","Y","date"
"4349",357427.769707964,557868.076355077,2016-05-31
"4351",350674.019372255,588257.297043212,2016-05-31
"4358",354214.311727497,568091.952360991,2016-05-31
"4379",343821.17260777,586879.263953092,2016-05-31
"4408",364570.148484201,565318.004916099,2016-06-01
"4430",358322.986916642,561575.258193014,2016-06-02
"4475",358951.512304255,569435.802590074,2016-06-04
"4503",366832.721513271,558688.210094856,2016-06-05
"4535",355636.820796408,566611.828798032,2016-06-06
"4539",355109.456322683,582889.104469072,2016-06-07
"4595",358242.519434006,564571.816245854,2016-06-08
"4656",352272.108731233,575364.470900739,2016-06-10
"4687",351020.307200019,582488.948301379,2016-06-12
"4709",349586.216671698,579307.07603298,2016-06-12
"4746",354247.155354705,566918.822239248,2016-06-14
"4779",364278.829388912,561487.828847252,2016-06-14
"4806",358087.99284451,556088.901675498,2016-06-16
"4808",357938.048084144,557682.357568378,2016-06-16
"4820",357636.602198583,564556.91385862,2016-06-16
"4839",349949.486168892,578815.777690627,2016-06-16
"4849",357987.408859008,556097.418191797,2016-06-17
"4910",355064.687191068,573657.272068833,2016-06-19
"4921",349886.096824321,576296.840406795,2016-06-19
"4925",350107.415310003,581663.839371632,2016-06-19
"4938",352567.727126352,567344.572802205,2016-06-19
"4942",357956.581206131,562441.211656348,2016-06-19
"4984",354191.106469325,594364.202287741,2016-06-21
"4997",357553.371171701,575746.137501655,2016-06-21
"5010",350631.316314975,585116.32285806,2016-06-21
"5019",350605.4089561,576948.805036042,2016-06-22
"5044",350324.706578105,576262.37982742,2016-06-22
"5049",350549.020300516,571451.815509185,2016-06-23
"5077",359048.111329541,566011.943346113,2016-06-23
"5088",363279.008055388,565353.898143624,2016-06-24
"5104",352141.645059579,576339.859118965,2016-06-24
"5120",347191.063228169,578778.5331607,2016-06-25
"5125",350526.173739663,580662.238765897,2016-06-25
"5146",360441.345596096,565261.607183928,2016-06-25
"5164",356439.617340092,557073.062665797,2016-06-26
"5170",347751.579668492,569789.023123806,2016-06-26
"5173",353351.116649923,584072.657069638,2016-06-26
"5187",359035.873939317,558301.767866674,2016-06-27
"5238",350453.071078821,567787.400827718,2016-06-28
"5277",355491.357907536,592535.137249642,2016-06-29
"5284",349833.368521208,575167.629448322,2016-06-29
"5320",345464.025928636,568337.6117616,2016-06-30
"5328",356425.869026031,565230.811420831,2016-07-01
"5376",347412.37213134,580274.167511653,2016-07-02
"5383",360503.224839556,570801.674330705,2016-07-02
"5402",350604.216923222,580342.231291852,2016-07-03
"5404",354306.620975089,575582.384429619,2016-07-03
"5406",354091.480445578,575818.005104585,2016-07-03
"5433",347465.113828589,583912.979002789,2016-07-04
"5468",357518.90126859,564236.518805318,2016-07-04
"5470",349815.40470371,575991.448580721,2016-07-04
"5475",362202.189870594,564445.634668927,2016-07-05
"5491",357816.074429808,555233.337278753,2016-07-05
"5498",353870.193471967,567785.342946138,2016-07-05
"5513",353533.381264693,588638.272450326,2016-07-06
"5532",356577.120960777,570015.520529691,2016-07-07
"5588",362320.743241441,566934.976405774,2016-07-08
"5605",350952.624289428,582173.454180497,2016-07-09
"5606",349624.304437876,583165.518916443,2016-07-09
"5608",350659.961043942,583901.028005806,2016-07-09
"5622",351582.306657097,580683.251993824,2016-07-09
"5636",343815.3788132,583607.543076873,2016-07-09
"5644",360961.045418541,564846.153481094,2016-07-10
"5645",358463.169735039,558794.015952745,2016-07-10
"5674",348393.538150215,582528.469084299,2016-07-11
"5684",346852.464103513,580255.022212808,2016-07-11
"5703",345553.085886361,584383.871227938,2016-07-11
"5706",359917.40105829,563598.525797062,2016-07-12
"5727",358889.605784896,556100.434122141,2016-07-12
"5731",351015.674136605,577226.860347175,2016-07-13
"5847",359002.071644254,557796.107355108,2016-07-16
"5867",347499.848894026,587577.239602196,2016-07-16
"5923",354145.69639217,566920.941188455,2016-07-18
"5924",349819.927301043,583342.606856755,2016-07-18
"5939",355229.589548113,567508.812518686,2016-07-18
"5971",349323.768062861,582994.261868235,2016-07-18
"5973",351154.375236739,587965.277516827,2016-07-19
"5977",360731.547840388,562808.538575853,2016-07-19
"6018",358002.013012888,555650.581049189,2016-07-19
"6077",352161.478424757,568655.479269143,2016-07-21
"6141",348391.938198038,579357.73144244,2016-07-22
"6149",348692.164486368,582839.40495559,2016-07-22
"6155",355411.214406842,576058.508150323,2016-07-23
"6226",358852.702789063,557198.085380625,2016-07-24
"6231",352195.295547488,574511.969440291,2016-07-25
"6240",359080.121049442,559680.662029399,2016-07-25
"6280",349695.605560058,584133.591674865,2016-07-26
"6318",356598.155440601,565562.060987754,2016-07-26
"6319",356692.005323577,558714.48085795,2016-07-26
"6321",350944.339870599,577902.237353971,2016-07-26
"6425",352889.296531277,568057.14549079,2016-07-29
"6503",356614.857940314,576351.095188256,2016-07-31
"6504",350532.274367837,575974.055976387,2016-08-01
"6518",351378.370229741,574699.418711573,2016-08-01
"6557",356020.483645333,567027.018523814,2016-08-02
"6659",348020.725041741,578338.782453366,2016-08-05
"6706",361383.79538937,561716.129334428,2016-08-06
"6708",354787.326781144,566491.753513552,2016-08-06
"6709",353906.119573586,571573.670679568,2016-08-07
"6711",357079.743056191,566389.055844026,2016-08-07
"6743",347822.01053606,585386.333409594,2016-08-08
"6776",353661.086047335,563629.30993944,2016-08-08
"6803",353222.185369295,592959.392835314,2016-08-09
"6836",359868.941349337,553883.973677706,2016-08-10
"6837",351779.522347521,565196.009889378,2016-08-10
"6875",350649.364196549,568033.481660335,2016-08-11
"6892",359817.151792384,566056.765001386,2016-08-12
"6950",360176.189825009,560391.766708071,2016-08-14
"6951",350048.258054639,582536.138617684,2016-08-14
"6976",360652.298736789,572144.291170612,2016-08-14
"6985",345650.602884338,583677.064931686,2016-08-14
"6987",360748.935445568,565249.106084502,2016-08-14
"6990",362144.286200325,566543.565749514,2016-08-15
"7003",346548.508115527,577719.99716702,2016-08-15
"7035",351795.984508922,574288.243932178,2016-08-15
"7076",346614.033737831,577805.618700656,2016-08-17
"7079",357885.584618178,566413.748703631,2016-08-17
"7104",341904.90316976,586420.521618514,2016-08-17
"7160",353873.184659605,567785.587633315,2016-08-19
"7183",348769.920771982,585582.26718032,2016-08-19
"7197",349995.535426831,577730.350324505,2016-08-19
"7199",359431.204907478,559420.098471552,2016-08-20
"7227",354829.351033645,567507.06480482,2016-08-21
"7274",346780.195642915,577319.42886293,2016-08-22
"7291",358980.127860609,567186.439993152,2016-08-22
"7320",364011.502368897,564348.9586465,2016-08-22
"7368",356654.188893665,567191.846700509,2016-08-24
"7377",350662.135923972,567568.622578294,2016-08-24
"7386",354677.909962933,569326.735619879,2016-08-24
"7412",353159.079375086,571206.74696011,2016-08-24
"7463",351690.180243185,585435.065636402,2016-08-25
"7507",355781.581747985,569574.853233199,2016-08-26
"7514",348468.814613011,578952.945139512,2016-08-27
"7570",350622.512990443,568807.911936469,2016-08-28
"7650",355222.866443536,567744.125697803,2016-08-30
"7662",362577.357454841,566297.533002067,2016-08-31
"7729",360716.294161684,559316.12958102,2016-09-01
"7737",360570.313060994,571328.297922138,2016-09-01
"7792",349309.145557589,588186.265839755,2016-09-03
"7802",354044.480874659,573120.202882929,2016-09-03
"7834",347721.686386806,581264.571128619,2016-09-04
"7835",347221.833922114,580885.363179809,2016-09-04
"8026",360221.276180823,567355.289521118,2016-09-09
"8048",349901.031412978,567072.441462669,2016-09-10
"8049",353041.687955622,568370.501401776,2016-09-10
"8058",350956.28263106,575290.080894796,2016-09-10
"8061",348483.406354012,583037.580538688,2016-09-10
"8071",357169.328280145,574247.08332072,2016-09-10
"8086",353521.47117017,584164.130809283,2016-09-10
"8091",355916.257920768,583050.906589122,2016-09-11
"8169",359747.034659334,553247.290636532,2016-09-13
"8171",358668.61431785,560126.90634886,2016-09-13
"8172",357314.115387089,565190.887521252,2016-09-13
"8175",348372.504215969,579921.522429656,2016-09-13
"8236",347300.489843077,580075.489749066,2016-09-14
"8266",357405.526925425,579067.784424987,2016-09-15
"8298",351375.34095262,569740.299148172,2016-09-15
"8302",354286.241805558,576088.397461121,2016-09-16
"8303",355000.660443134,576067.325566805,2016-09-16
"8304",354946.385663807,576105.783397181,2016-09-16
"8305",355139.008832772,576110.602641052,2016-09-16
"8306",355107.662023289,575750.365870483,2016-09-16
"8311",363333.336900288,567155.028265767,2016-09-16
"8362",351199.826368318,566463.393876629,2016-09-16
"8392",352049.297930585,575020.954993209,2016-09-18
"8394",355144.810956193,569638.553953938,2016-09-18
"8395",354938.795328448,569633.967852641,2016-09-18
"8396",354946.442639494,569633.915585873,2016-09-18
"8448",349593.189742305,584153.758912411,2016-09-19
"8488",352292.470204284,571133.593322735,2016-09-20
"8517",360687.667482201,558243.248915452,2016-09-21
"8533",347299.568816565,580101.697068587,2016-09-21
"8536",358971.619114875,558299.906250458,2016-09-22
"8570",354366.694311521,564099.362698882,2016-09-22
"8602",357372.025306154,576144.770986081,2016-09-23
"8615",348613.874338051,582981.156281723,2016-09-24
"8620",350586.499222658,578127.168330514,2016-09-24
"8638",352129.446744172,567941.046297212,2016-09-24
"8640",350501.828957928,584360.421931989,2016-09-24
"8649",347286.445893638,580465.599143799,2016-09-25
"8710",350919.699954002,557179.14593781,2016-09-26
"8730",351220.179144276,576717.829615709,2016-09-27
"8878",363263.787792199,561870.997973004,2016-09-30
"8924",359040.446935272,557999.131432234,2016-10-01
"8928",357800.887882642,557242.291962859,2016-10-02
"8987",348965.326289051,578391.751343276,2016-10-04
"9013",351908.139851001,584831.623327713,2016-10-04
"9024",346920.369360724,580831.720613296,2016-10-05
"9065",358080.708905647,557369.064742372,2016-10-05
"9075",352488.178716703,574950.862168614,2016-10-06
"9076",351922.507936606,576932.063596492,2016-10-06
"9113",345054.124752687,568453.41827809,2016-10-06
"9144",348910.477751587,583196.008430978,2016-10-07
"9171",364419.56768543,564158.237522457,2016-10-08
"9191",349671.503928827,584080.884756357,2016-10-09
"9213",355972.934218426,582933.277837667,2016-10-09
"9235",358718.294102097,578346.378516432,2016-10-10
"9320",354839.762885126,570754.055006218,2016-10-13
"9342",351980.051618417,574926.814529033,2016-10-13
"9343",355972.934218426,582933.277837667,2016-10-14
"9385",354444.128206222,573996.508236787,2016-10-14
"9389",354633.037394272,563533.697513626,2016-10-14
"9394",358387.922265596,556113.550502339,2016-10-15
"9437",358789.650382563,565586.176870857,2016-10-16
"9463",360765.343578873,564639.111732659,2016-10-17
"9477",350686.815946163,566620.350235265,2016-10-17
"9491",356369.226698408,562907.598928129,2016-10-17
"9496",351664.282697517,575911.302842931,2016-10-18
"9503",356682.895615467,566161.086245037,2016-10-18
"9520",350061.076647431,585570.693386642,2016-10-18
"9549",347889.954845526,578663.01515667,2016-10-19
"9633",350700.841992497,577166.522103032,2016-10-21
"9641",357956.656692708,557089.824447728,2016-10-22
"9677",353911.342398729,588120.402557083,2016-10-23
"9697",349801.697616172,588157.268052115,2016-10-23
"9698",357265.628711594,566998.005860944,2016-10-23
"9702",348598.297466816,584058.919687124,2016-10-23
"9749",354745.836131253,581409.87363343,2016-10-24
"9759",359618.663971946,564627.245175272,2016-10-25
"9806",349777.596052649,574055.060938658,2016-10-26
"9866",355076.524877482,576717.145606079,2016-10-27
"9869",359002.696959113,558944.275003652,2016-10-28
"9903",351174.196728659,581556.466616175,2016-10-28
"9905",351077.561714951,566898.034636334,2016-10-28
"9906",356730.403728454,557490.988891186,2016-10-28
"9907",362127.197915364,561852.718275295,2016-10-28
"9908",351229.017945851,583507.898007093,2016-10-29
"9909",351204.633354031,583507.278138026,2016-10-29
"9912",351161.667973702,582629.695931269,2016-10-29
"9913",351158.358975676,582743.746447399,2016-10-29
"9915",351271.741481421,583438.672587995,2016-10-29
"9916",346439.133194617,584276.861482535,2016-10-29
"9994",355777.934678098,560461.921894419,2016-10-31
"10003",355057.64280321,573935.015582511,2016-11-01
"10036",356239.69770418,577822.099495345,2016-11-01
"10040",352181.852250754,574953.057535674,2016-11-01
"10045",352193.759101719,567592.968801991,2016-11-02
"10046",351652.430797744,575770.485980738,2016-11-02
"10082",353765.886119578,565668.503590732,2016-11-03
"10093",351619.235480186,577315.511360602,2016-11-03
"10138",347397.40870819,580888.751387698,2016-11-04
"10249",352675.016111323,569573.600847391,2016-11-07
"10321",351604.888654324,563058.72041264,2016-11-09
"10351",356387.198321383,566127.204082583,2016-11-10
"10362",358868.235513521,556705.493910414,2016-11-10
"10365",346201.026726303,582253.871396428,2016-11-10
"10428",354164.585818877,580336.434194371,2016-11-12
"10431",351287.555082275,566903.869489521,2016-11-12
"10487",360592.252098311,553983.897419853,2016-11-14
"10489",355428.309093278,567561.555349117,2016-11-14
"10532",351385.078896805,587566.623892731,2016-11-15
"10705",357097.103652974,569774.18268629,2016-11-18
"10706",346553.089529697,581374.904529694,2016-11-18
"10713",355473.394971148,569764.945224998,2016-11-19
"10730",351329.345670107,566398.78952273,2016-11-19
"10772",351128.13165261,576295.642349986,2016-11-21
"10854",351666.163017986,582301.448039864,2016-11-22
"10872",358868.873132277,578207.664543349,2016-11-23
"10874",364308.988227395,558905.605691655,2016-11-23
"10877",362208.015207444,564273.074606005,2016-11-23
"10920",346014.794235193,587938.4560503,2016-11-23
"10962",351480.782895029,567921.572804706,2016-11-25
"10982",359050.528248943,557239.808556152,2016-11-25
"10989",358115.146926176,569383.743702394,2016-11-25
"11013",349064.370426439,580511.39502233,2016-11-26
"11080",356577.089294687,570019.51895963,2016-11-28
"11088",364814.05754813,564568.781179306,2016-11-29
"11166",356577.089294687,570019.51895963,2016-12-01
"11167",348358.136455248,585062.62184074,2016-12-01
"11168",348431.864101194,585404.01303133,2016-12-01
"11169",348375.836488829,585569.46667288,2016-12-01
"11192",358967.940256909,560123.254077782,2016-12-01
"11227",356025.371082865,565914.764926681,2016-12-02
"11245",351917.306390321,567731.351943966,2016-12-02
"11247",356025.371082865,565914.764926681,2016-12-03
"11270",359040.446935272,557999.131432234,2016-12-03
"11272",343454.547004919,585790.485332974,2016-12-03
"11280",351085.516111072,581183.17289172,2016-12-04
"11286",363961.460825184,565824.485980804,2016-12-04
"11338",366829.381415846,559091.161153351,2016-12-06
"11374",360707.753373771,564534.879185032,2016-12-06
"11381",348578.517812013,585169.312255715,2016-12-07
"11402",358657.067091867,557122.508416628,2016-12-07
"11414",356733.124077167,564325.547889958,2016-12-07
"11462",355717.888068609,564541.273425341,2016-12-09
"11476",361379.552897064,569325.511492465,2016-12-09
"11489",352069.086381829,575359.320307767,2016-12-09
"11495",356245.494985762,588621.467207142,2016-12-09
"11542",365266.011664798,555938.337968964,2016-12-12
"11547",348462.668715757,581112.073707421,2016-12-12
"11682",351395.777142393,580978.029028826,2016-12-15
"11683",352488.784630783,576143.583020082,2016-12-15
"11729",352133.421338189,567738.034020485,2016-12-16
"11752",347890.589270564,580593.040248215,2016-12-18
"11759",350165.884542386,576800.413489236,2016-12-18
"11796",355321.025655733,567941.374045905,2016-12-20
"11833",351394.278924154,564374.297086221,2016-12-20
"11865",350627.366767671,576277.073900624,2016-12-21
"11987",351396.711471127,558003.695269722,2016-12-24
"12009",350485.062112011,566588.711485416,2016-12-25
"12012",352428.124183399,578169.58210047,2016-12-25
"12105",355203.965951277,564881.839455726,2016-12-28
"12135",350326.26795346,568675.309329034,2016-12-28
"12161",346786.304631474,581848.16499407,2016-12-29
