"","X","Y","date"
"6188",356105.259644952,565133.877650915,2016-07-23
"6189",357319.555903445,564989.332159227,2016-07-23
"6190",356461.608530013,584948.075186883,2016-07-23
"6191",365793.681156742,553438.982141105,2016-07-24
"6192",357624.419925413,582912.916615055,2016-07-24
"6193",355369.793812486,580575.075730979,2016-07-24
"6194",361160.702636551,569401.387896183,2016-07-24
"6195",350918.454621514,567499.468148291,2016-07-24
"6196",360009.128653875,559161.891379749,2016-07-24
"6197",351082.426218746,568718.883008693,2016-07-24
"6198",349851.046282149,582334.708353046,2016-07-24
"6199",360972.654895848,560805.363832044,2016-07-24
"6200",350170.477937387,569303.884644035,2016-07-24
"6201",364308.622489008,558927.81736626,2016-07-24
"6202",346125.817858483,583462.758378064,2016-07-24
"6203",359245.338112048,563584.823643121,2016-07-24
"6204",355495.360566429,568970.047735791,2016-07-24
"6205",355893.41871995,569176.415623712,2016-07-24
"6206",350816.99718741,563815.037300645,2016-07-24
"6207",358420.503435697,559197.8629121,2016-07-24
"6208",355698.963069832,568956.081376487,2016-07-24
"6209",355741.940691323,585052.918373215,2016-07-24
"6210",354602.30321157,582044.792347222,2016-07-24
"6211",350465.556844267,568703.726456698,2016-07-24
"6212",349968.720706002,578617.978210721,2016-07-24
"6213",351106.809709741,577126.879921825,2016-07-24
"6214",353802.15884441,557391.008233134,2016-07-24
"6215",356774.926692981,557830.222885564,2016-07-24
"6216",347192.30761767,588855.554950844,2016-07-24
"6217",354423.389000382,582036.868431064,2016-07-24
"6218",355682.213544601,563984.185795731,2016-07-24
"6219",351075.140145451,585620.448820377,2016-07-24
"6220",359184.978079456,556243.149255405,2016-07-24
"6221",354580.921849709,569161.493835949,2016-07-24
"6222",341383.662042396,586763.684181888,2016-07-24
"6223",360835.781592265,565775.450369679,2016-07-24
"6224",357266.850360849,563343.46551481,2016-07-24
"6225",360582.742988389,559763.293275836,2016-07-24
"6227",349730.346208222,578909.87951308,2016-07-25
"6228",353913.471505486,583159.408694498,2016-07-25
"6229",354116.742654357,592125.525512769,2016-07-25
"6230",363704.84593974,564522.166118429,2016-07-25
"6232",360675.16651051,570078.363938047,2016-07-25
"6233",363777.979444478,565742.539933086,2016-07-25
"6234",363919.402324238,563903.722083519,2016-07-25
"6235",364135.524088752,565741.293520961,2016-07-25
"6236",363231.805567753,567165.015132213,2016-07-25
"6237",350106.479845349,575174.652306571,2016-07-25
"6238",357513.113496334,564439.181832441,2016-07-25
